"~id","~start_node_id","~end_node_id","~relationship_type","split","evidence","sentence_id","evidence_source","confidence","document","is_revised","relation_name","relation_id"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1157428402769100803","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .','Its main base was Ninoy Aquino International Airport ','Manila .']","['0','3']","annotated",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1161933101908099075","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .','Its main base was Ninoy Aquino International Airport ','Manila .']","['0','3']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1168689600860782595","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","4:94d2b4d1-0616-4f97-90b3-3538986833d7:2","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .']","['0']","annotated",1,"AirAsia Zest","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1170941400674467843","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","4:94d2b4d1-0616-4f97-90b3-3538986833d7:5","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"AirAsia Zest","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1159691197699063812","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4434","CONTINENT","train_revised","['This minivet is found in tropical southern Asia from India to southern China ','Indonesia ','and the Philippines .']","['1']","annotated",1,"Scarlet minivet","true","continent","P30"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1173247076557914116","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:16007","LEGISLATIVE_BODY","dev_revised","[]","[]","unresolved_multihop",1,"Philippine Commission","true","legislative body","P194"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1166491677116858372","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:36424","LEGISLATIVE_BODY","train_revised","[]","[]","unresolved_multihop",1,"Aquino family","true","legislative body","P194"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1164239877303173124","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:36427","LEGISLATIVE_BODY","train_revised","[]","[]","unresolved_multihop",1,"Aquino family","true","legislative body","P194"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1168743476930543620","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:36427","LEGISLATIVE_BODY","dev_revised","[]","[]","unresolved_multihop",1,"Philippine Commission","true","legislative body","P194"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1170995276744228868","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:39373","LEGISLATIVE_BODY","dev_revised","[]","[]","unresolved_multihop",1,"Philippine Commission","true","legislative body","P194"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1175498876371599364","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:39375","LEGISLATIVE_BODY","dev_revised","[]","[]","unresolved_multihop",1,"Philippine Commission","true","legislative body","P194"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1184532463905406980","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:2137","HEAD_OF_STATE","dev_revised","[]","[]","unresolved_multihop",1,"Bessang Pass Natural Monument","true","head of state","P35"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1173273464836980740","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:16005","HEAD_OF_STATE","train_revised","['And after the war ','Ruperto Kangleon served as the Philippine Secretary of National Defense under Presidents Manuel Roxas and Elpidio Quirino .']","['5']","annotated",1,"Ruperto Kangleon","true","head of state","P35"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1171021665023295492","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:16006","HEAD_OF_STATE","train_revised","['And after the war ','Ruperto Kangleon served as the Philippine Secretary of National Defense under Presidents Manuel Roxas and Elpidio Quirino .']","['5']","annotated",1,"Ruperto Kangleon","true","head of state","P35"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1175525264650665988","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:20696","HEAD_OF_STATE","train_revised","['Julio Nalundasan ( July 21 ','1894 – 20 September 1935 ','Batac ','Ilocos Norte ) was a Filipino politician who was one of the political rivals of Ilocos Norte politician Mariano Marcos ','father of Ferdinand Marcos ( who later became the tenth President of the Philippines ) .']","['0']","annotated",1,"Julio Nalundasan","true","head of state","P35"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1177777064464351236","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:20699","HEAD_OF_STATE","train_revised","['However ','the conviction was overturned by the Supreme Court of the Philippines ','through a decision by Associate Justice Jose P. Laurel ( who ','like Marcos ','also became President ) .']","['3']","annotated",1,"Julio Nalundasan","true","head of state","P35"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1182280664091721732","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:41344","HEAD_OF_STATE","dev_revised","[]","[]","unresolved_multihop",1,"Bessang Pass Natural Monument","true","head of state","P35"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1180028864278036484","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:41348","HEAD_OF_STATE","dev_revised","[]","[]","unresolved_multihop",1,"Bessang Pass Natural Monument","true","head of state","P35"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6931045324081332227","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .']","['0']","annotated",1,"AirAsia Zest","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6917534525199220741","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:5","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"AirAsia Zest","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6926541724453969713","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:7985","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Mayon ( ','',') ','also known as Mayon Volcano or Mount Mayon ','is an active stratovolcano in the province of Albay in Bicol Region ','on the large island of Luzon in the Philippines .']","['0']","annotated",1,"Mayon","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6917534525199228722","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:7986","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Mayon ( ','',') ','also known as Mayon Volcano or Mount Mayon ','is an active stratovolcano in the province of Albay in Bicol Region ','on the large island of Luzon in the Philippines .']","['0']","inferred_cooccurrence",1,"Mayon","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6924289924640292477","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:15997","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"Ruperto Kangleon","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6919786325012921983","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:15999","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Kangleón was the acknowledged leader of the Resistance Movement in Leyte during the Japanese occupation of the Philippines during World War II .','Before the war ','Colonel Kangleon was replaced and re - joining the group of soldiers under the pre - war 92nd Infantry Division of the Philippine Army in the General Headquarters in Leyte during the Liberation .']","['2','4']","annotated",1,"Ruperto Kangleon","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6926541724453982422","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:20694","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Julio Nalundasan ( July 21 ','1894 – 20 September 1935 ','Batac ','Ilocos Norte ) was a Filipino politician who was one of the political rivals of Ilocos Norte politician Mariano Marcos ','father of Ferdinand Marcos ( who later became the tenth President of the Philippines ) .']","['0']","annotated",1,"Julio Nalundasan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6933297123895038166","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:20694","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6919786325012927106","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:21122","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6935548923708725679","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:22959","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['The Philippine Sports Stadium ','also known as New Era University ( NEU ) Stadium ','is a football and track stadium at Ciudad de Victoria ','a 140-hectare tourism enterprise zone in the towns of Bocaue and Santa Maria in Bulacan ','Philippines .']","['0']","annotated",1,"Philippine Sports Stadium","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6933297123895047526","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:30054","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Cagayán ( ) (; ; ) is a province of the Philippines in the Cagayan Valley region in the northeast of Luzon Island ','and includes the Babuyan Islands to the north .']","['0']","inferred_cooccurrence",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6933297123895047527","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:30055","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Cagayán ( ) (; ; ) is a province of the Philippines in the Cagayan Valley region in the northeast of Luzon Island ','and includes the Babuyan Islands to the north .']","['0']","annotated",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6917534525199250794","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:30058","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6919786325012936043","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:30059","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Cagayán ( ) (; ; ) is a province of the Philippines in the Cagayan Valley region in the northeast of Luzon Island ','and includes the Babuyan Islands to the north .','Its capital is the city of Tuguegarao .']","['0','2']","annotated",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6942304323149788526","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:30062","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6933297123895047535","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:30063","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Cagayán ( ) (; ; ) is a province of the Philippines in the Cagayan Valley region in the northeast of Luzon Island ','and includes the Babuyan Islands to the north .','Called La Provincia de Cagayan ','its borders essentially covered the entire Cagayan Valley ','which included the present provinces of Isabela ','Quirino ','Nueva Vizcaya ','Batanes and portions of Kalinga and Apayao .']","['0','4']","annotated",1,"Cagayan","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6917534525199257158","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:36422","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['The Aquino family of Tarlac is one of the most prominent oligarchs in the Philippines because of their involvement in politics .']","['0']","inferred_cooccurrence",1,"Aquino family","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6917534525199262073","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:41337","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","dev_revised","['The Bessang Pass Natural Monument is a protected area and memorial that commemorates the victory on 14 June 1945 by Filipino soldiers serving the U.S. Army Forces in the Philippines Northern Luzon ( USAFIP - NL ) over the Imperial Japanese Army in the Battle of Bessang Pass which led to Japan 's eventual surrender and end to World War II in the Philippines .']","['0']","inferred_cooccurrence",1,"Bessang Pass Natural Monument","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6924289924640317820","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:41340","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","dev_revised","[]","[]","unresolved_multihop",1,"Bessang Pass Natural Monument","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6919786325012952641","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:46657","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","dev_revised","['The Rio Grande de Mindanao ','also known as the Mindanao River ','is the second largest river system in the Philippines ','located on the southern island of Mindanao .']","['0']","annotated",1,"Rio Grande de Mindanao","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6924289924640323139","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:46659","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","dev_revised","[]","[]","unresolved_multihop",1,"Rio Grande de Mindanao","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6924289924640323141","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","4:94d2b4d1-0616-4f97-90b3-3538986833d7:46661","CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY","dev_revised","[]","[]","unresolved_multihop",1,"Rio Grande de Mindanao","true","contains administrative territorial entity","P150"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1159680202582786053","4:94d2b4d1-0616-4f97-90b3-3538986833d7:5","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .','Its main base was Ninoy Aquino International Airport ','Manila .']","['0','3']","annotated",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6928792424756019203","4:94d2b4d1-0616-4f97-90b3-3538986833d7:5","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1157429502280728581","4:94d2b4d1-0616-4f97-90b3-3538986833d7:5","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .','Its main base was Ninoy Aquino International Airport ','Manila .']","['0','3']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152924803141730310","4:94d2b4d1-0616-4f97-90b3-3538986833d7:6","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","[]","[]","unresolved_multihop",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152925902653358086","4:94d2b4d1-0616-4f97-90b3-3538986833d7:6","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152924803141730313","4:94d2b4d1-0616-4f97-90b3-3538986833d7:9","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","[]","[]","unresolved_multihop",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152925902653358089","4:94d2b4d1-0616-4f97-90b3-3538986833d7:9","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","[]","[]","unresolved_multihop",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1155176602955415562","4:94d2b4d1-0616-4f97-90b3-3538986833d7:10","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['The airline was founded as Asian Spirit ','the first airline in the Philippines to be run as a cooperative .']","['4']","annotated",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152925902653358090","4:94d2b4d1-0616-4f97-90b3-3538986833d7:10","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['The airline was founded as Asian Spirit ','the first airline in the Philippines to be run as a cooperative .']","['4']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152924803141730315","4:94d2b4d1-0616-4f97-90b3-3538986833d7:11","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['On August 16 ','2013 ','the Civil Aviation Authority of the Philippines ( CAAP ) ','the regulating body of the Government of the Republic of the Philippines for civil aviation ','suspended Zest Air flights until further notice because of safety issues .']","['5']","inferred_cooccurrence",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152925902653358091","4:94d2b4d1-0616-4f97-90b3-3538986833d7:11","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['On August 16 ','2013 ','the Civil Aviation Authority of the Philippines ( CAAP ) ','the regulating body of the Government of the Republic of the Philippines for civil aviation ','suspended Zest Air flights until further notice because of safety issues .']","['5']","inferred_cooccurrence",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1155176602955415564","4:94d2b4d1-0616-4f97-90b3-3538986833d7:12","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['Less than a year after AirAsia and Zest Air 's strategic alliance ','the airline has been rebranded as AirAsia Zest .','The airline was merged into AirAsia Philippines in January 2016 .']","['6','7']","annotated",1,"AirAsia Zest","true","country","P17"
