"~id","~labels","aliases","name","id","type"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:47","LOC;ZEntity","['Gold Coast']","Gold Coast","Gold Coast::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:48","LOC;ZEntity","['Queensland']","Queensland","Queensland::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:49","LOC;ZEntity","['Australia','Australian','Australian Outback','State']","Australia","Australia::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:50","TIME;ZEntity","['2006','August 2006','July 2006','May 2006','September 2006']","2006","2006::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:51","ORG;ZEntity","['Hooker Retail Developments']","Hooker Retail Developments","Hooker Retail Developments::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:52","TIME;ZEntity","['1977','January 1977','March 1977']","1977","1977::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:55","NUM;ZEntity","['Four','four']","four","four::NUM","NUM"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:57","ORG;ZEntity","['Myer']","Myer","Myer::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:58","ORG;ZEntity","['Kmart']","Kmart","Kmart::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:59","ORG;ZEntity","['Target']","Target","Target::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:60","ORG;ZEntity","['Coles']","Coles","Coles::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:61","ORG;ZEntity","['Toys ' R ' Us']","Toys ' R ' Us","Toys ' R ' Us::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:62","ORG;ZEntity","['Daimaru']","Daimaru","Daimaru::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:63","LOC;ZEntity","['Australia','Australian']","Australian","Australian::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:65","ORG;ZEntity","['Birch Carroll and Coyle Cinema']","Birch Carroll and Coyle Cinema","Birch Carroll and Coyle Cinema::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:66","ORG;ZEntity","['Event Cinemas']","Event Cinemas","Event Cinemas::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:68","ORG;ZEntity","['Surfside Buslines']","Surfside Buslines","Surfside Buslines::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:69","LOC;ZEntity","['Broadbeach South station']","Broadbeach South station","Broadbeach South station::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:70","LOC;ZEntity","['Star Gold Coast']","Star Gold Coast","Star Gold Coast::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:71","LOC;ZEntity","['Gold Coast Convention & Exhibition Centre']","Gold Coast Convention & Exhibition Centre","Gold Coast Convention & Exhibition Centre::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:72","LOC;ZEntity","['Little Tallebudgera Creek']","Little Tallebudgera Creek","Little Tallebudgera Creek::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:73","LOC;ZEntity","['Surfers Riverwalk']","Surfers Riverwalk","Surfers Riverwalk::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:74","MISC;ZEntity","['The Mole']","The Mole","The Mole::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:75","ORG;ZEntity","['Ministry','Ministry for Home Security','Ministry of Home Security']","Ministry","Ministry::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:76","LOC;ZEntity","['Britain','British','English','U.K.','UK','United Kingdom']","British","British::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:77","TIME;ZEntity","['1939']","1939","1939::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:78","MISC;ZEntity","['Second World War','World War II']","Second World War","Second World War::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:79","PER;ZEntity","['John Anderson']","John Anderson","John Anderson::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:80","ORG;ZEntity","['Women ’s Voluntary Service']","Women ’s Voluntary Service","Women ’s Voluntary Service::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:82","ORG;ZEntity","['Home Office']","Home Office","Home Office::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:83","ORG;ZEntity","['Fire Guards']","Fire Guards","Fire Guards::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:85","PER;ZEntity","['Herbert Morrison']","Herbert Morrison","Herbert Morrison::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:86","PER;ZEntity","['Neville Chamberlain']","Neville Chamberlain","Neville Chamberlain::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:87","ORG;ZEntity","['Allied','Allies']","Allied","Allied::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:88","TIME;ZEntity","['May 1945']","May 1945","May 1945::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:89","LOC;ZEntity","['The Lakes']","The Lakes","The Lakes::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:90","LOC;ZEntity","['Western Australia']","Western Australia","Western Australia::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:91","LOC;ZEntity","['Shire of Mundaring']","Shire of Mundaring","Shire of Mundaring::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:92","LOC;ZEntity","['Perth']","Perth","Perth::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:93","LOC;ZEntity","['Great Eastern Highway']","Great Eastern Highway","Great Eastern Highway::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:94","LOC;ZEntity","['Great Southern Highway']","Great Southern Highway","Great Southern Highway::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:95","MISC;ZEntity","['Metropolitan Region Scheme']","Metropolitan Region Scheme","Metropolitan Region Scheme::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:97","LOC;ZEntity","['Shire of Northam']","Shire of Northam","Shire of Northam::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:98","LOC;ZEntity","['Woottating']","Woottating","Woottating::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:100","LOC;ZEntity","['Perth Airport']","Perth Airport","Perth Airport::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:101","LOC;ZEntity","['Northam']","Northam","Northam::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:102","LOC;ZEntity","['York']","York","York::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:103","LOC;ZEntity","['Alton']","Alton","Alton::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:104","LOC;ZEntity","['Mississippi','Mississippi River']","Mississippi River","Mississippi River::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:105","LOC;ZEntity","['Madison County']","Madison County","Madison County::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:106","LOC;ZEntity","['Illinois']","Illinois","Illinois::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:107","LOC;ZEntity","['America','American','Americans','U.S.','US','USA','United States','the United States']","United States","United States::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:108","LOC;ZEntity","['Greater St. Louis','St. Louis']","Greater St. Louis","Greater St. Louis::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:109","LOC;ZEntity","['Missouri']","Missouri","Missouri::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:112","LOC;ZEntity","['Metro - East']","Metro - East","Metro - East::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:113","MISC;ZEntity","['American Civil War','Civil War']","American Civil War","American Civil War::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:114","PER;ZEntity","['Miles Davis']","Miles Davis","Miles Davis::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:115","PER;ZEntity","['Robert Wadlow']","Robert Wadlow","Robert Wadlow::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:116","PER;ZEntity","['Abraham Lincoln']","Abraham Lincoln","Abraham Lincoln::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:117","PER;ZEntity","['Stephen Douglas']","Stephen Douglas","Stephen Douglas::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:120","ORG;ZEntity","['Confederate']","Confederate","Confederate::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:121","MISC;ZEntity","['Us and Them']","Us and Them","Us and Them::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:122","LOC;ZEntity","['England','English','Great Britain','UK','United Kingdom','the United Kingdom']","English","English::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:123","ORG;ZEntity","['Godflesh']","Godflesh","Godflesh::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:124","ORG;ZEntity","['Earache Records']","Earache Records","Earache Records::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:125","TIME;ZEntity","['17 May 1999']","17 May 1999","17 May 1999::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:126","TIME;ZEntity","['8 June 1999']","8 June 1999","8 June 1999::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:127","LOC;ZEntity","['North America','North American','U.S.']","North America","North America::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:128","TIME;ZEntity","['1997','November 20','1997']","1997","1997::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:129","MISC;ZEntity","['Love and Hate in Dub']","Love and Hate in Dub","Love and Hate in Dub::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:131","PER;ZEntity","['Justin Broadrick']","Justin Broadrick","Justin Broadrick::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:132","LOC;ZEntity","['Nicola Lake']","Nicola Lake","Nicola Lake::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:133","LOC;ZEntity","['South-Central Interior']","South-Central Interior","South-Central Interior::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:134","LOC;ZEntity","['British Columbia']","British Columbia","British Columbia::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:135","LOC;ZEntity","['Canada','Canadian','Douglas','East Coast of Canada','Surrey','White Rock']","Canada","Canada::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:137","LOC;ZEntity","['Merritt']","Merritt","Merritt::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:138","LOC;ZEntity","['Kamloops']","Kamloops","Kamloops::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:139","LOC;ZEntity","['Nicola River']","Nicola River","Nicola River::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:140","LOC;ZEntity","['Nicola']","Nicola","Nicola::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:141","LOC;ZEntity","['Nicola Lake Indian Reserve']","Nicola Lake Indian Reserve","Nicola Lake Indian Reserve::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:142","NUM;ZEntity","['1']","1","1::NUM","NUM"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:143","ORG;ZEntity","['Upper Nicola Indian Band']","Upper Nicola Indian Band","Upper Nicola Indian Band::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:144","ORG;ZEntity","['Douglas Lake Cattle Company']","Douglas Lake Cattle Company","Douglas Lake Cattle Company::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:145","LOC;ZEntity","['Douglas Lake Ranch']","Douglas Lake Ranch","Douglas Lake Ranch::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:146","PER;ZEntity","['Geirnaert','Jonas','Jonas Geirnaert']","Jonas","Jonas::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:147","TIME;ZEntity","['July 28','1982']","July 28, 1982","July 28, 1982::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:148","ORG;ZEntity","['KASK']","KASK","KASK::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:149","LOC;ZEntity","['Ghent']","Ghent","Ghent::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:151","MISC;ZEntity","['Short Film Jury Prize']","Short Film Jury Prize","Short Film Jury Prize::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:152","MISC;ZEntity","['Cannes Film Festival']","Cannes Film Festival","Cannes Film Festival::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:153","MISC;ZEntity","['Flatlife']","Flatlife","Flatlife::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:155","MISC;ZEntity","['All - American Alphabet']","All - American Alphabet","All - American Alphabet::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:156","LOC;ZEntity","['Cannes']","Cannes","Cannes::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:157","LOC;ZEntity","['Americans']","Americans","Americans::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:160","ORG;ZEntity","['WP','Workers Party']","Workers Party","Workers Party::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:161","LOC;ZEntity","['Belgian','Belgium']","Belgium","Belgium::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:162","TIME;ZEntity","['2005','4 March 2005','August 15','2005','February 1 ','2005','June 24','2005','November 2005','October 2005','September 27','2005']","2005","2005::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:164","LOC;ZEntity","['Flemish']","Flemish","Flemish::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:169","MISC;ZEntity","['BASTA']","BASTA","BASTA::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:170","LOC;ZEntity","['Flanders']","Flanders","Flanders::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:171","LOC;ZEntity","['Second River']","Second River","Second River::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:172","LOC;ZEntity","['Watsessing River']","Watsessing River","Watsessing River::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:173","LOC;ZEntity","['New Jersey']","New Jersey","New Jersey::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:174","LOC;ZEntity","['Passaic River']","Passaic River","Passaic River::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:175","LOC;ZEntity","['Newark Bay']","Newark Bay","Newark Bay::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:176","LOC;ZEntity","['West Orange']","West Orange","West Orange::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:177","LOC;ZEntity","['Passaic']","Passaic","Passaic::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:180","LOC;ZEntity","['Orange']","Orange","Orange::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:181","LOC;ZEntity","['East Orange']","East Orange","East Orange::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:182","LOC;ZEntity","['Wigwam']","Wigwam","Wigwam::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:183","LOC;ZEntity","['Parrow']","Parrow","Parrow::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:184","LOC;ZEntity","['Nishuane Brooks']","Nishuane Brooks","Nishuane Brooks::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:185","LOC;ZEntity","['Bloomfield']","Bloomfield","Bloomfield::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:186","LOC;ZEntity","['Watsessing Park']","Watsessing Park","Watsessing Park::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:187","LOC;ZEntity","['Toney's Brook']","Toney's Brook","Toney's Brook::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:188","LOC;ZEntity","['Belleville']","Belleville","Belleville::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:189","LOC;ZEntity","['Newark']","Newark","Newark::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:192","ORG;ZEntity","['Reformed Dutch Church of Second River']","Reformed Dutch Church of Second River","Reformed Dutch Church of Second River::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:193","LOC;ZEntity","['Monson']","Monson","Monson::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:194","LOC;ZEntity","['Piscataquis County']","Piscataquis County","Piscataquis County::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:195","LOC;ZEntity","['Maine']","Maine","Maine::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:197","LOC;ZEntity","['Route 15']","Route 15","Route 15::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:198","LOC;ZEntity","['Moosehead Lake Region']","Moosehead Lake Region","Moosehead Lake Region::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:200","LOC;ZEntity","['Appalachian Trail']","Appalachian Trail","Appalachian Trail::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:202","LOC;ZEntity","['Wilderness']","Wilderness","Wilderness::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:203","PER;ZEntity","['Thomas Wolff']","Thomas Wolff","Thomas Wolff::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:204","TIME;ZEntity","['July 14','1954']","July 14, 1954","July 14, 1954::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:205","LOC;ZEntity","['Bell City','New York','New York City']","New York City","New York City::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:206","TIME;ZEntity","['July 31 ','2000']","July 31 , 2000","July 31 , 2000::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:207","LOC;ZEntity","['Kern County']","Kern County","Kern County::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:208","ORG;ZEntity","['Harvard','Harvard University']","Harvard University","Harvard University::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:209","PER;ZEntity","['Bill Gates']","Bill Gates","Bill Gates::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:210","ORG;ZEntity","['BSD','University of California ','Berkeley']","University of California , Berkeley","University of California , Berkeley::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:211","TIME;ZEntity","['1976']","1976","1976::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:213","PER;ZEntity","['Donald Sarason']","Donald Sarason","Donald Sarason::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:215","ORG;ZEntity","['Caltech']","Caltech","Caltech::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:216","TIME;ZEntity","['1986']","1986","1986::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:218","TIME;ZEntity","['1992']","1992","1992::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:220","TIME;ZEntity","['2000','22 May 2000','5 November 2000']","2000","2000::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:221","ORG;ZEntity","['University of Washington']","University of Washington","University of Washington::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:222","ORG;ZEntity","['University of Athens','University of Chicago']","University of Chicago","University of Chicago::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:223","ORG;ZEntity","['New York University']","New York University","New York University::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:224","MISC;ZEntity","['Salem Prize']","Salem Prize","Salem Prize::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:226","MISC;ZEntity","['Bôcher Memorial Prize']","Bôcher Memorial Prize","Bôcher Memorial Prize::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:229","PER;ZEntity","['Samuel Herbert Cohen']","Samuel Herbert Cohen","Samuel Herbert Cohen::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:230","TIME;ZEntity","['26 October 1918']","26 October 1918","26 October 1918::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:231","TIME;ZEntity","['7 October 1969']","7 October 1969","7 October 1969::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:233","ORG;ZEntity","['Australian Senate']","Australian Senate","Australian Senate::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:234","LOC;ZEntity","['Sydney']","Sydney","Sydney::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:235","ORG;ZEntity","['Wesley College']","Wesley College","Wesley College::ORG","ORG"
