id,name,type,aliases
Gold Coast Convention & Exhibition Centre::LOC,Gold Coast Convention & Exhibition Centre,LOC,"[""Gold Coast Convention & Exhibition Centre""]"
Little Tallebudgera Creek::LOC,Little Tallebudgera Creek,LOC,"[""Little Tallebudgera Creek""]"
Surfers Riverwalk::LOC,Surfers Riverwalk,LOC,"[""Surfers Riverwalk""]"
The Mole::MISC,The Mole,MISC,"[""The Mole""]"
Ministry::ORG,Ministry,ORG,"[""Ministry"", ""Ministry for Home Security"", ""Ministry of Home Security""]"
British::LOC,British,LOC,"[""Britain"", ""British"", ""English"", ""U.K."", ""UK"", ""United Kingdom""]"
1939::TIME,1939,TIME,"[""1939""]"
Second World War::MISC,Second World War,MISC,"[""Second World War"", ""World War II""]"
John Anderson::PER,John Anderson,PER,"[""John Anderson""]"
Women ’s Voluntary Service::ORG,Women ’s Voluntary Service,ORG,"[""Women ’s Voluntary Service""]"
ARP::ORG,ARP,ORG,"[""ARP""]"
Home Office::ORG,Home Office,ORG,"[""Home Office""]"
Fire Guards::ORG,Fire Guards,ORG,"[""Fire Guards""]"
October 1940::TIME,October 1940,TIME,"[""October 1940""]"
Herbert Morrison::PER,Herbert Morrison,PER,"[""Herbert Morrison""]"
Neville Chamberlain::PER,Neville Chamberlain,PER,"[""Neville Chamberlain""]"
Allied::ORG,Allied,ORG,"[""Allied"", ""Allies""]"
May 1945::TIME,May 1945,TIME,"[""May 1945""]"
The Lakes::LOC,The Lakes,LOC,"[""The Lakes""]"
Western Australia::LOC,Western Australia,LOC,"[""Western Australia""]"
Shire of Mundaring::LOC,Shire of Mundaring,LOC,"[""Shire of Mundaring""]"
Perth::LOC,Perth,LOC,"[""Perth""]"
Great Eastern Highway::LOC,Great Eastern Highway,LOC,"[""Great Eastern Highway""]"
Great Southern Highway::LOC,Great Southern Highway,LOC,"[""Great Southern Highway""]"
Metropolitan Region Scheme::MISC,Metropolitan Region Scheme,MISC,"[""Metropolitan Region Scheme""]"
45::NUM,45,NUM,"[""45""]"
Shire of Northam::LOC,Shire of Northam,LOC,"[""Shire of Northam""]"
Woottating::LOC,Woottating,LOC,"[""Woottating""]"
BGC::ORG,BGC,ORG,"[""BGC"", ""Buckeridge Group of Companies""]"
Perth Airport::LOC,Perth Airport,LOC,"[""Perth Airport""]"
Northam::LOC,Northam,LOC,"[""Northam""]"
York::LOC,York,LOC,"[""York""]"
Alton::LOC,Alton,LOC,"[""Alton""]"
Mississippi River::LOC,Mississippi River,LOC,"[""Mississippi"", ""Mississippi River""]"
Madison County::LOC,Madison County,LOC,"[""Madison County""]"
Illinois::LOC,Illinois,LOC,"[""Illinois""]"
United States::LOC,United States,LOC,"[""America"", ""American"", ""Americans"", ""U.S."", ""US"", ""USA"", ""United States"", ""the United States""]"
Greater St. Louis::LOC,Greater St. Louis,LOC,"[""Greater St. Louis"", ""St. Louis""]"
Missouri::LOC,Missouri,LOC,"[""Missouri""]"
"27,865::NUM","27,865",NUM,"[""27,865""]"
2010::TIME,2010,TIME,"[""11 March 2010"", ""19 February 2010"", ""2010"", ""3 March 2010"", ""December 2010"", ""May 2010""]"
Metro - East::LOC,Metro - East,LOC,"[""Metro - East""]"
American Civil War::MISC,American Civil War,MISC,"[""American Civil War"", ""Civil War""]"
Miles Davis::PER,Miles Davis,PER,"[""Miles Davis""]"
Robert Wadlow::PER,Robert Wadlow,PER,"[""Robert Wadlow""]"
Abraham Lincoln::PER,Abraham Lincoln,PER,"[""Abraham Lincoln""]"
Stephen Douglas::PER,Stephen Douglas,PER,"[""Stephen Douglas""]"
October 1858::TIME,October 1858,TIME,"[""October 1858""]"
"12,000::NUM","12,000",NUM,"[""12,000""]"
Confederate::ORG,Confederate,ORG,"[""Confederate""]"
Us and Them::MISC,Us and Them,MISC,"[""Us and Them""]"
English::LOC,English,LOC,"[""England"", ""English"", ""Great Britain"", ""UK"", ""United Kingdom"", ""the United Kingdom""]"
Godflesh::ORG,Godflesh,ORG,"[""Godflesh""]"
Earache Records::ORG,Earache Records,ORG,"[""Earache Records""]"
17 May 1999::TIME,17 May 1999,TIME,"[""17 May 1999""]"
8 June 1999::TIME,8 June 1999,TIME,"[""8 June 1999""]"
North America::LOC,North America,LOC,"[""North America"", ""North American"", ""U.S.""]"
1997::TIME,1997,TIME,"[""1997"", ""November 20, 1997""]"
Love and Hate in Dub::MISC,Love and Hate in Dub,MISC,"[""Love and Hate in Dub""]"
trip hop::MISC,trip hop,MISC,"[""trip hop""]"
Justin Broadrick::PER,Justin Broadrick,PER,"[""Justin Broadrick""]"
Nicola Lake::LOC,Nicola Lake,LOC,"[""Nicola Lake""]"
South-Central Interior::LOC,South-Central Interior,LOC,"[""South-Central Interior""]"
British Columbia::LOC,British Columbia,LOC,"[""British Columbia""]"
Canada::LOC,Canada,LOC,"[""Canada"", ""Canadian"", ""Douglas"", ""East Coast of Canada"", ""Surrey"", ""White Rock""]"
thirty kilometres::NUM,thirty kilometres,NUM,"[""thirty kilometres""]"
Merritt::LOC,Merritt,LOC,"[""Merritt""]"
Kamloops::LOC,Kamloops,LOC,"[""Kamloops""]"
Nicola River::LOC,Nicola River,LOC,"[""Nicola River""]"
Nicola::LOC,Nicola,LOC,"[""Nicola""]"
Nicola Lake Indian Reserve::LOC,Nicola Lake Indian Reserve,LOC,"[""Nicola Lake Indian Reserve""]"
1::NUM,1,NUM,"[""1""]"
Upper Nicola Indian Band::ORG,Upper Nicola Indian Band,ORG,"[""Upper Nicola Indian Band""]"
Douglas Lake Cattle Company::ORG,Douglas Lake Cattle Company,ORG,"[""Douglas Lake Cattle Company""]"
Douglas Lake Ranch::LOC,Douglas Lake Ranch,LOC,"[""Douglas Lake Ranch""]"
Jonas::PER,Jonas,PER,"[""Geirnaert"", ""Jonas"", ""Jonas Geirnaert""]"
"July 28, 1982::TIME","July 28, 1982",TIME,"[""July 28, 1982""]"
KASK::ORG,KASK,ORG,"[""KASK""]"
Ghent::LOC,Ghent,LOC,"[""Ghent""]"
May 2004::TIME,May 2004,TIME,"[""May 2004""]"
Short Film Jury Prize::MISC,Short Film Jury Prize,MISC,"[""Short Film Jury Prize""]"
Cannes Film Festival::MISC,Cannes Film Festival,MISC,"[""Cannes Film Festival""]"
Flatlife::MISC,Flatlife,MISC,"[""Flatlife""]"
11 min::NUM,11 min,NUM,"[""11 min""]"
All - American Alphabet::MISC,All - American Alphabet,MISC,"[""All - American Alphabet""]"
Cannes::LOC,Cannes,LOC,"[""Cannes""]"
Americans::LOC,Americans,LOC,"[""Americans""]"
Do n't vote Bush::MISC,Do n't vote Bush,MISC,"[""Do n't vote Bush""]"
marxist::ORG,marxist,ORG,"[""marxist""]"
Workers Party::ORG,Workers Party,ORG,"[""WP"", ""Workers Party""]"
Belgium::LOC,Belgium,LOC,"[""Belgian"", ""Belgium""]"
2005::TIME,2005,TIME,"[""2005"", ""4 March 2005"", ""August 15, 2005"", ""February 1 , 2005"", ""June 24, 2005"", ""November 2005"", ""October 2005"", ""September 27, 2005""]"
Neveneffecten for Canvas::MISC,Neveneffecten for Canvas,MISC,"[""Neveneffecten for Canvas""]"
Flemish::LOC,Flemish,LOC,"[""Flemish""]"
Lieven Scheire::PER,Lieven Scheire,PER,"[""Lieven Scheire""]"
Koen De Poorter::PER,Koen De Poorter,PER,"[""Koen De Poorter""]"
Jelle De Beule::PER,Jelle De Beule,PER,"[""Jelle De Beule""]"
2011::TIME,2011,TIME,"[""2011"", ""December 2011"", ""March 2011"", ""October 2011""]"
BASTA::MISC,BASTA,MISC,"[""BASTA""]"
Flanders::LOC,Flanders,LOC,"[""Flanders""]"
Second River::LOC,Second River,LOC,"[""Second River""]"
Watsessing River::LOC,Watsessing River,LOC,"[""Watsessing River""]"
New Jersey::LOC,New Jersey,LOC,"[""New Jersey""]"
Passaic River::LOC,Passaic River,LOC,"[""Passaic River""]"
Newark Bay::LOC,Newark Bay,LOC,"[""Newark Bay""]"
West Orange::LOC,West Orange,LOC,"[""West Orange""]"
Passaic::LOC,Passaic,LOC,"[""Passaic""]"
5 mi::NUM,5 mi,NUM,"[""5   mi""]"
8 km::NUM,8 km,NUM,"[""8 km""]"
Orange::LOC,Orange,LOC,"[""Orange""]"
East Orange::LOC,East Orange,LOC,"[""East Orange""]"
Wigwam::LOC,Wigwam,LOC,"[""Wigwam""]"
Parrow::LOC,Parrow,LOC,"[""Parrow""]"
Nishuane Brooks::LOC,Nishuane Brooks,LOC,"[""Nishuane Brooks""]"
Bloomfield::LOC,Bloomfield,LOC,"[""Bloomfield""]"
Watsessing Park::LOC,Watsessing Park,LOC,"[""Watsessing Park""]"
Toney's Brook::LOC,Toney's Brook,LOC,"[""Toney's Brook""]"
Belleville::LOC,Belleville,LOC,"[""Belleville""]"
Newark::LOC,Newark,LOC,"[""Newark""]"
the 19th::TIME,the 19th,TIME,"[""the 19th""]"
early 20th centuries::TIME,early 20th centuries,TIME,"[""early 20th centuries""]"
Reformed Dutch Church of Second River::ORG,Reformed Dutch Church of Second River,ORG,"[""Reformed Dutch Church of Second River""]"
Monson::LOC,Monson,LOC,"[""Monson""]"
Piscataquis County::LOC,Piscataquis County,LOC,"[""Piscataquis County""]"
Maine::LOC,Maine,LOC,"[""Maine""]"
686::NUM,686,NUM,"[""686""]"
Route 15::LOC,Route 15,LOC,"[""Route 15""]"
Moosehead Lake Region::LOC,Moosehead Lake Region,LOC,"[""Moosehead Lake Region""]"
Canadian Province of Quebec::LOC,Canadian Province of Quebec,LOC,"[""Canadian Province of Quebec""]"
Appalachian Trail::LOC,Appalachian Trail,LOC,"[""Appalachian Trail""]"
100-Mile::NUM,100-Mile,NUM,"[""100-Mile""]"
Wilderness::LOC,Wilderness,LOC,"[""Wilderness""]"
Thomas Wolff::PER,Thomas Wolff,PER,"[""Thomas Wolff""]"
"July 14, 1954::TIME","July 14, 1954",TIME,"[""July 14, 1954""]"
New York City::LOC,New York City,LOC,"[""Bell City"", ""New York"", ""New York City""]"
"July 31 , 2000::TIME","July 31 , 2000",TIME,"[""July 31 , 2000""]"
Kern County::LOC,Kern County,LOC,"[""Kern County""]"
Harvard University::ORG,Harvard University,ORG,"[""Harvard"", ""Harvard University""]"
Bill Gates::PER,Bill Gates,PER,"[""Bill Gates""]"
"University of California , Berkeley::ORG","University of California , Berkeley",ORG,"[""BSD"", ""University of California , Berkeley""]"
1976::TIME,1976,TIME,"[""1976""]"
1979::TIME,1979,TIME,"[""1979"", ""March 1979"", ""November 1979""]"
Donald Sarason::PER,Donald Sarason,PER,"[""Donald Sarason""]"
Mathematics::MISC,Mathematics,MISC,"[""Mathematics""]"
Caltech::ORG,Caltech,ORG,"[""Caltech""]"
1986::TIME,1986,TIME,"[""1986""]"
1988::TIME,1988,TIME,"[""1987"", ""1988"", ""April 18, 1988"", ""October 1988""]"
1992::TIME,1992,TIME,"[""1992""]"
1995::TIME,1995,TIME,"[""1995"", ""June 1995""]"
2000::TIME,2000,TIME,"[""2000"", ""22 May 2000"", ""5 November 2000""]"
University of Washington::ORG,University of Washington,ORG,"[""University of Washington""]"
University of Chicago::ORG,University of Chicago,ORG,"[""University of Athens"", ""University of Chicago""]"
New York University::ORG,New York University,ORG,"[""New York University""]"
Salem Prize::MISC,Salem Prize,MISC,"[""Salem Prize""]"
1985::TIME,1985,TIME,"[""1985""]"
Bôcher Memorial Prize::MISC,Bôcher Memorial Prize,MISC,"[""Bôcher Memorial Prize""]"
1999::TIME,1999,TIME,"[""1999""]"
Kakeya::PER,Kakeya,PER,"[""Kakeya""]"
Samuel Herbert Cohen::PER,Samuel Herbert Cohen,PER,"[""Samuel Herbert Cohen""]"
26 October 1918::TIME,26 October 1918,TIME,"[""26 October 1918""]"
7 October 1969::TIME,7 October 1969,TIME,"[""7 October 1969""]"
Jew::ORG,Jew,ORG,"[""Jew""]"
Australian Senate::ORG,Australian Senate,ORG,"[""Australian Senate""]"
Sydney::LOC,Sydney,LOC,"[""Sydney""]"
Wesley College::ORG,Wesley College,ORG,"[""Wesley College""]"
Melbourne::LOC,Melbourne,LOC,"[""Melbourne""]"
the University of Melbourne::ORG,the University of Melbourne,ORG,"[""the University of Melbourne""]"
Melbourne University Students ' Representative Council::ORG,Melbourne University Students ' Representative Council,ORG,"[""Melbourne University Students ' Representative Council""]"
National Union of Australian University Students::ORG,National Union of Australian University Students,ORG,"[""National Union of Australian University Students""]"
1942::TIME,1942,TIME,"[""1942"", ""December 25, 1942""]"
1943::TIME,1943,TIME,"[""1943"", ""January 1, 1943"", ""May 1943""]"
1946::TIME,1946,TIME,"[""1946"", ""6 April 1946"", ""March 4 , 1946""]"
1961::TIME,1961,TIME,"[""1961""]"
Labor Senator for Victoria::ORG,Labor Senator for Victoria,ORG,"[""Labor Senator for Victoria""]"
1969::TIME,1969,TIME,"[""1969"", ""December 10, 1969""]"
Bill Brown::PER,Bill Brown,PER,"[""Bill Brown""]"
Gooden::PER,Gooden,PER,"[""Basil Ivanhoe Gooden"", ""Gooden""]"
American::LOC,American,LOC,"[""America"", ""American"", ""Americans"", ""U.S."", ""US"", ""USA"", ""United States"", ""the Republic"", ""the U.S."", ""the United States"", ""the United States of America""]"
Virginia::LOC,Virginia,LOC,"[""Virginia""]"
Agriculture and Forestry::ORG,Agriculture and Forestry,ORG,"[""Agriculture and Forestry""]"
Terry McAuliffe::PER,Terry McAuliffe,PER,"[""McAuliffe"", ""Terry McAuliffe""]"
African::LOC,African,LOC,"[""African""]"
September 2016::TIME,September 2016,TIME,"[""September 2016""]"
January 2018::TIME,January 2018,TIME,"[""January 2018""]"
Agriculture::ORG,Agriculture,ORG,"[""Agriculture""]"
$91 billion::NUM,$91 billion,NUM,"[""$91 billion""]"
Commonwealth::ORG,Commonwealth,ORG,"[""Commonwealth"", ""Commonwealth of Australia"", ""Commonwealth of Nations""]"
Barack Obama::PER,Barack Obama,PER,"[""Barack Obama"", ""Obama""]"
USDA – Rural Development::ORG,USDA – Rural Development,ORG,"[""USDA – Rural Development""]"
$ 1.25 billion::NUM,$ 1.25 billion,NUM,"[""$ 1.25 billion""]"
Virginians::LOC,Virginians,LOC,"[""Virginians""]"
twelve years::TIME,twelve years,TIME,"[""twelve years""]"
Virginia Department of Housing and Community Development::ORG,Virginia Department of Housing and Community Development,ORG,"[""Virginia Department of Housing and Community Development""]"
DHCD::ORG,DHCD,ORG,"[""DHCD""]"
Mark R. Warner::PER,Mark R. Warner,PER,"[""Mark R. Warner""]"
Timothy M. Kaine::PER,Timothy M. Kaine,PER,"[""Timothy M. Kaine""]"
Robert F. McDonnell::PER,Robert F. McDonnell,PER,"[""Robert F. McDonnell""]"
Kiss::PER,Kiss,PER,"[""Andrew Kiss"", ""Kiss""]"
Canadian::LOC,Canadian,LOC,"[""Canada"", ""Canadian""]"
Hungary::LOC,Hungary,LOC,"[""Hungarian"", ""Hungary""]"
1957::TIME,1957,TIME,"[""1957""]"
Vancouver Island::LOC,Vancouver Island,LOC,"[""Vancouver Island""]"
Cowichan Lake::LOC,Cowichan Lake,LOC,"[""Cowichan Lake""]"
Mackenzie::LOC,Mackenzie,LOC,"[""Mackenzie""]"
1974::TIME,1974,TIME,"[""1974""]"
Hong Kong::LOC,Hong Kong,LOC,"[""Hong Kong""]"
Switzerland::LOC,Switzerland,LOC,"[""Switzerland""]"
England::LOC,England,LOC,"[""British"", ""England"", ""English"", ""Kingdom of England"", ""United Kingdom""]"
Austria::LOC,Austria,LOC,"[""Austria"", ""Austrian""]"
New Zealand::LOC,New Zealand,LOC,"[""New Zealand"", ""New Zealand Embassy""]"
Germany::LOC,Germany,LOC,"[""German"", ""German Empire"", ""Germans"", ""Germany"", ""Kingdom of Württemberg"", ""Nazi Germany"", ""Weimar Republic""]"
Florida::LOC,Florida,LOC,"[""Florida"", ""Florida East Coast Railway""]"
South Carolina::LOC,South Carolina,LOC,"[""South Carolina""]"
Las Vegas::LOC,Las Vegas,LOC,"[""Las Vegas""]"
Montana::LOC,Montana,LOC,"[""Montana""]"
Phoenix::LOC,Phoenix,LOC,"[""Phoenix""]"
Seattle::LOC,Seattle,LOC,"[""Downtown Seattle"", ""Seattle""]"
Calgary::LOC,Calgary,LOC,"[""Calgary""]"
Alberta::LOC,Alberta,LOC,"[""Alberta""]"
Nabacalis::LOC,Nabacalis,LOC,"[""Nabacalis""]"
East Coast of Demerara::LOC,East Coast of Demerara,LOC,"[""East Coast of Demerara""]"
Demerara::LOC,Demerara,LOC,"[""Demerara""]"
Demerara - Mahaica::LOC,Demerara - Mahaica,LOC,"[""Demerara - Mahaica""]"
Dr. CC Nicholson Hospital::LOC,Dr. CC Nicholson Hospital,LOC,"[""Dr. CC Nicholson Hospital""]"
2012::TIME,2012,TIME,"[""11 November 2012"", ""19 May 2012"", ""2012"", ""November 27, 2012"", ""October 9, 2012""]"
1994::TIME,1994,TIME,"[""19 August 1994"", ""1994"", ""August 3, 1994"", ""November 1994""]"
London::LOC,London,LOC,"[""London"", ""Londres""]"
Cyril Charles Nicholson Foundation::ORG,Cyril Charles Nicholson Foundation,ORG,"[""Cyril Charles Nicholson Foundation""]"
2003::TIME,2003,TIME,"[""12/2/2004"", ""15 August 2003"", ""2003"", ""22 August 2003"", ""two months""]"
Nabaclis::LOC,Nabaclis,LOC,"[""Nabaclis""]"
Georgetown::LOC,Georgetown,LOC,"[""Georgetown""]"
Emerson Samuels::PER,Emerson Samuels,PER,"[""Emerson Samuels""]"
Golden Grove Methodist School::ORG,Golden Grove Methodist School,ORG,"[""Golden Grove Methodist School""]"
Rudolph Dunbar::PER,Rudolph Dunbar,PER,"[""Rudolph Dunbar""]"
The One and Only::MISC,The One and Only,MISC,"[""The One and Only""]"
Memphis::LOC,Memphis,LOC,"[""Memphis""]"
Lil Wyte::PER,Lil Wyte,PER,"[""Lil Wyte""]"
"June 5, 2007::TIME","June 5, 2007",TIME,"[""June 5, 2007""]"
Talkin ' Ai nt Walkin '::MISC,Talkin ' Ai nt Walkin ',MISC,"[""Talkin ' Ai nt Walkin '""]"
DJ Paul::PER,DJ Paul,PER,"[""DJ Paul""]"
Juicy J.::PER,Juicy J.,PER,"[""Juicy J.""]"
Billboard 200::MISC,Billboard 200,MISC,"[""Billboard"", ""Billboard 200""]"
"15,600::NUM","15,600",NUM,"[""15,600""]"
"120,000::NUM","120,000",NUM,"[""120,000""]"
U.S.::LOC,U.S.,LOC,"[""America"", ""American"", ""Americans"", ""State"", ""The United States"", ""U.S"", ""U.S."", ""US"", ""United States"", ""United States of America"", ""the United States""]"
Three 6 Mafia::ORG,Three 6 Mafia,ORG,"[""Three 6 Mafia""]"
Rhapsody::MISC,Rhapsody,MISC,"[""Rhapsody""]"
The 10 Best Albums By White Rappers::MISC,The 10 Best Albums By White Rappers,MISC,"[""The 10 Best Albums By White Rappers""]"
High Commissioner from New Zealand to Fiji::MISC,High Commissioner from New Zealand to Fiji,MISC,"[""High Commissioner from New Zealand to Fiji""]"
Fiji::LOC,Fiji,LOC,"[""Fiji"", ""Republic of the Fiji Islands""]"
High Commission::ORG,High Commission,ORG,"[""High Commission""]"
Suva::LOC,Suva,LOC,"[""Suva""]"
Head of Mission::ORG,Head of Mission,ORG,"[""Head of Mission""]"
1970::TIME,1970,TIME,"[""1970"", ""1970s"", ""February 27, 1970"", ""September 1970""]"
Nauru::LOC,Nauru,LOC,"[""Nauru""]"
Tuvalu::LOC,Tuvalu,LOC,"[""Tuvalu""]"
Commonwealth of Nations::ORG,Commonwealth of Nations,ORG,"[""Commonwealth"", ""Commonwealth of Nations""]"
Heads of State::MISC,Heads of State,MISC,"[""Heads of State""]"
High Commissioners::MISC,High Commissioners,MISC,"[""High Commissioners""]"
Olen::PER,Olen,PER,"[""Olen""]"
Lycia::LOC,Lycia,LOC,"[""Lycia"", ""Lycian""]"
Delos::LOC,Delos,LOC,"[""Delians"", ""Delos""]"
Apollo::PER,Apollo,PER,"[""Apollo""]"
Herodotus::PER,Herodotus,PER,"[""Herodotus""]"
Pausanias::PER,Pausanias,PER,"[""Pausanias""]"
Eileithyia::PER,Eileithyia,PER,"[""Eileithyia""]"
Cronos::PER,Cronos,PER,"[""Cronos""]"
Description of Greece::MISC,Description of Greece,MISC,"[""Description of Greece""]"
Hellenic::LOC,Hellenic,LOC,"[""Hellenic""]"
Olympian::LOC,Olympian,LOC,"[""Olympian""]"
Hesiod::PER,Hesiod,PER,"[""Hesiod""]"
Zeus::PER,Zeus,PER,"[""Zeus""]"
Hera::PER,Hera,PER,"[""Hera""]"
Delphian::MISC,Delphian,MISC,"[""Delphian""]"
Pythia Boeo::PER,Pythia Boeo,PER,"[""Pythia Boeo""]"
Hyperboreans::LOC,Hyperboreans,LOC,"[""Hyperboreans""]"
Michelle::PER,Michelle,PER,"[""Michelle""]"
Northwestern France::LOC,Northwestern France,LOC,"[""Northwestern France""]"
Kobe::LOC,Kobe,LOC,"[""Kobe""]"
Japan::LOC,Japan,LOC,"[""Japan"", ""Japanese""]"
Ferre::PER,Ferre,PER,"[""Ferre""]"
Sophia University::ORG,Sophia University,ORG,"[""Sophia University""]"
Tokyo::LOC,Tokyo,LOC,"[""Tokyo"", ""Tokyu""]"
International Relations::MISC,International Relations,MISC,"[""International Relations""]"
English::MISC,English,MISC,"[""English""]"
Japanese::ORG,Japanese,ORG,"[""Japanese""]"
Michelle Ferre::PER,Michelle Ferre,PER,"[""Michelle Ferre""]"
Jackie Chan::PER,Jackie Chan,PER,"[""Jackie Chan""]"
1998::TIME,1998,TIME,"[""1998"", ""2 March 1998"", ""31 August 1998"", ""6 September 1998"", ""August 1998"", ""May 8, 1998"", ""October 27 , 1998"", ""September 1998""]"
Who Am I::MISC,Who Am I,MISC,"[""Who Am I""]"
Chan::PER,Chan,PER,"[""Chan"", ""Jackie Chan""]"
Christine Stark::PER,Christine Stark,PER,"[""Christine Stark""]"
Japanese::MISC,Japanese,MISC,"[""Japanese""]"
So - Run Movie::MISC,So - Run Movie,MISC,"[""So - Run Movie""]"
Ryô Iwamatsu::PER,Ryô Iwamatsu,PER,"[""Ryô Iwamatsu""]"
Akugi::MISC,Akugi,MISC,"[""Akugi""]"
Colossal Cave Adventure::MISC,Colossal Cave Adventure,MISC,"[""Colossal Cave Adventure""]"
